sample,external_id,group,geo_id,platform,dataset,tech
Sample02_DFS20,Sample02_DFS20,Control,GSM3946486,GPL18573,GSE134431,RNA-seq
Sample03_DFS21,Sample03_DFS21,Control,GSM3946487,GPL18573,GSE134431,RNA-seq
Sample04_DFS31,Sample04_DFS31,Control,GSM3946488,GPL18573,GSE134431,RNA-seq
Sample05_DFS32,Sample05_DFS32,Control,GSM3946489,GPL18573,GSE134431,RNA-seq
Sample06_DFS34,Sample06_DFS34,Control,GSM3946490,GPL18573,GSE134431,RNA-seq
Sample07_DFS37,Sample07_DFS37,Control,GSM3946491,GPL18573,GSE134431,RNA-seq
Sample08_DFS39,Sample08_DFS39,Control,GSM3946492,GPL18573,GSE134431,RNA-seq
Sample09_UM#7W4,Sample09_UM#7W4,DFU,GSM3946493,GPL18573,GSE134431,RNA-seq
Sample10_UM#8W4,Sample10_UM#8W4,DFU,GSM3946494,GPL18573,GSE134431,RNA-seq
Sample11_UM#15W0,Sample11_UM#15W0,DFU,GSM3946495,GPL18573,GSE134431,RNA-seq
Sample12_UM#23W0,Sample12_UM#23W0,DFU,GSM3946496,GPL18573,GSE134431,RNA-seq
Sample13_UM#24W0,Sample13_UM#24W0,DFU,GSM3946497,GPL18573,GSE134431,RNA-seq
Sample14_UM#30W4,Sample14_UM#30W4,DFU,GSM3946498,GPL18573,GSE134431,RNA-seq
Sample15_P2#13,Sample15_P2#13,DFU,GSM3946499,GPL18573,GSE134431,RNA-seq
Sample16_UM#27W4,Sample16_UM#27W4,DFU,GSM3946500,GPL18573,GSE134431,RNA-seq
Sample17_UM#28W4,Sample17_UM#28W4,DFU,GSM3946501,GPL18573,GSE134431,RNA-seq
Sample18_UM#31W4,Sample18_UM#31W4,DFU,GSM3946502,GPL18573,GSE134431,RNA-seq
Sample19_P2#01,Sample19_P2#01,DFU,GSM3946503,GPL18573,GSE134431,RNA-seq
Sample20_P2#03,Sample20_P2#03,DFU,GSM3946504,GPL18573,GSE134431,RNA-seq
Sample22_P2#21,Sample22_P2#21,DFU,GSM3946505,GPL18573,GSE134431,RNA-seq
Sample01_DFS11,Sample01_DFS11,Control,GSM3946485,GPL18573,GSE134431,RNA-seq
