PC1,PC2,group,sample,var_PC1,var_PC2,dataset
8.796481972607966,-36.859525424642456,Control,Sample02_DFS20,0.36390072457663963,0.28213558686031376,GSE134431
15.299686380688062,-37.563483950548104,Control,Sample03_DFS21,0.36390072457663963,0.28213558686031376,GSE134431
8.331901394001587,22.510880732009166,Control,Sample04_DFS31,0.36390072457663963,0.28213558686031376,GSE134431
12.678271986163642,-14.367483390981729,Control,Sample05_DFS32,0.36390072457663963,0.28213558686031376,GSE134431
39.93478169005163,20.824927570626397,Control,Sample06_DFS34,0.36390072457663963,0.28213558686031376,GSE134431
21.107006682740504,-29.64943423305114,Control,Sample07_DFS37,0.36390072457663963,0.28213558686031376,GSE134431
16.35780552985126,-34.25938326137637,Control,Sample08_DFS39,0.36390072457663963,0.28213558686031376,GSE134431
-46.882143919624404,-10.780568494122207,DFU,Sample09_UM#7W4,0.36390072457663963,0.28213558686031376,GSE134431
-4.265373244749889,29.173187920063818,DFU,Sample10_UM#8W4,0.36390072457663963,0.28213558686031376,GSE134431
12.26318541523997,43.23781049790972,DFU,Sample11_UM#15W0,0.36390072457663963,0.28213558686031376,GSE134431
-27.378762985437685,-5.596567569569164,DFU,Sample12_UM#23W0,0.36390072457663963,0.28213558686031376,GSE134431
-3.269742888831916,40.551839590086445,DFU,Sample13_UM#24W0,0.36390072457663963,0.28213558686031376,GSE134431
3.954570195627808,15.801458220156837,DFU,Sample14_UM#30W4,0.36390072457663963,0.28213558686031376,GSE134431
43.32436101661511,12.101695659378864,DFU,Sample15_P2#13,0.36390072457663963,0.28213558686031376,GSE134431
-37.20082927732748,5.620284733214928,DFU,Sample16_UM#27W4,0.36390072457663963,0.28213558686031376,GSE134431
-35.997167206339704,4.226488699341909,DFU,Sample17_UM#28W4,0.36390072457663963,0.28213558686031376,GSE134431
-49.77141064274104,-5.457533861367545,DFU,Sample18_UM#31W4,0.36390072457663963,0.28213558686031376,GSE134431
-15.355855987192147,-12.815424416110965,DFU,Sample19_P2#01,0.36390072457663963,0.28213558686031376,GSE134431
-19.31020944891302,4.7609554815403445,DFU,Sample20_P2#03,0.36390072457663963,0.28213558686031376,GSE134431
29.894591773183897,12.157080857624516,DFU,Sample22_P2#21,0.36390072457663963,0.28213558686031376,GSE134431
27.488851564385843,-23.617205360183252,Control,Sample01_DFS11,0.36390072457663963,0.28213558686031376,GSE134431
-30.255498224413603,-7.2900006206605195,DFU,DW1,0.4558701599673312,0.1892618681944352,GSE199939
-26.955591630021562,-5.56222305763865,DFU,DW2,0.4558701599673312,0.1892618681944352,GSE199939
-33.41227632450567,-9.71168988380829,DFU,DW3,0.4558701599673312,0.1892618681944352,GSE199939
-18.850830092772558,14.0929052420264,DFU,DW4,0.4558701599673312,0.1892618681944352,GSE199939
-29.272107936534677,-8.42092514897392,DFU,DW5,0.4558701599673312,0.1892618681944352,GSE199939
-32.003362406656834,-8.082901292665925,DFU,DW6,0.4558701599673312,0.1892618681944352,GSE199939
-31.45399287635372,-7.2290587693743635,DFU,DW7,0.4558701599673312,0.1892618681944352,GSE199939
-33.21978891304425,-8.578593008930063,DFU,DW8,0.4558701599673312,0.1892618681944352,GSE199939
-32.18213356474966,-8.559695670271367,DFU,DW9,0.4558701599673312,0.1892618681944352,GSE199939
-30.202341862672462,-6.734211030654144,DFU,DW10,0.4558701599673312,0.1892618681944352,GSE199939
6.517849322818425,41.323795444031255,Control,N1,0.4558701599673312,0.1892618681944352,GSE199939
27.01046712772165,-15.021343618054447,Control,N2,0.4558701599673312,0.1892618681944352,GSE199939
46.80488724694905,-19.071634629896003,Control,N3,0.4558701599673312,0.1892618681944352,GSE199939
16.728166369442985,10.748055848796373,Control,N4,0.4558701599673312,0.1892618681944352,GSE199939
10.823155909765935,44.72575442040471,Control,N5,0.4558701599673312,0.1892618681944352,GSE199939
25.821614006178788,5.45075658002369,Control,N6,0.4558701599673312,0.1892618681944352,GSE199939
40.41539316164083,-22.004227019853428,Control,N7,0.4558701599673312,0.1892618681944352,GSE199939
10.920763981624829,43.28792589286144,Control,N8,0.4558701599673312,0.1892618681944352,GSE199939
43.33123072214911,-11.291986732052223,Control,N9,0.4558701599673312,0.1892618681944352,GSE199939
30.044971136439067,-7.910594244837901,Control,N10,0.4558701599673312,0.1892618681944352,GSE199939
39.3894248469943,-14.16010870047258,Control,N11,0.4558701599673312,0.1892618681944352,GSE199939
23.882620757811647,-5.826486428254377,Control,GSM4448287,0.30903432138753956,0.18753466149120757,GSE147890
12.031177831496807,0.5604191624785878,Control,GSM4448288,0.30903432138753956,0.18753466149120757,GSE147890
4.057728127635652,-0.6350070776807389,Control,GSM4448289,0.30903432138753956,0.18753466149120757,GSE147890
29.55559000156328,20.63202043499707,Control,GSM4448290,0.30903432138753956,0.18753466149120757,GSE147890
13.843830571698959,2.0105620970385467,Control,GSM4448291,0.30903432138753956,0.18753466149120757,GSE147890
7.75698966938764,3.8088454101406852,Control,GSM4448292,0.30903432138753956,0.18753466149120757,GSE147890
26.091080645016515,20.429976207083932,Control,GSM4448293,0.30903432138753956,0.18753466149120757,GSE147890
-21.048913817481342,31.330127726960438,DFU,GSM4448300,0.30903432138753956,0.18753466149120757,GSE147890
-65.25999223937023,19.89201314776681,DFU,GSM4448301,0.30903432138753956,0.18753466149120757,GSE147890
-3.349632675835532,-23.294469151818415,DFU,GSM4448302,0.30903432138753956,0.18753466149120757,GSE147890
-16.301319780656492,-10.001003550261943,DFU,GSM4448303,0.30903432138753956,0.18753466149120757,GSE147890
-20.711650088095553,-40.05263649510951,DFU,GSM4448304,0.30903432138753956,0.18753466149120757,GSE147890
9.452490996828622,-18.854361483341112,DFU,GSM4448305,0.30903432138753956,0.18753466149120757,GSE147890
-15.70877492699172,15.566279421713972,DFU,GSM2114231,0.6336218509109899,0.20977128849725737,GSE80178
-73.95548856218326,-52.602377883555604,DFU,GSM2114232,0.6336218509109899,0.20977128849725737,GSE80178
-40.48510218669196,21.83633504832287,DFU,GSM2114233,0.6336218509109899,0.20977128849725737,GSE80178
-11.83436493503795,19.19137905441099,DFU,GSM2114234,0.6336218509109899,0.20977128849725737,GSE80178
-28.929945720770093,20.71947327820451,DFU,GSM2114235,0.6336218509109899,0.20977128849725737,GSE80178
-22.96611669657822,19.849375357912834,DFU,GSM2114236,0.6336218509109899,0.20977128849725737,GSE80178
26.86088953259652,-3.21384428676534,Control,GSM2114237,0.6336218509109899,0.20977128849725737,GSE80178
29.773829948566448,-7.765436864899958,Control,GSM2114238,0.6336218509109899,0.20977128849725737,GSE80178
30.561792420305682,-6.7659499481161856,Control,GSM2114239,0.6336218509109899,0.20977128849725737,GSE80178
35.39565750781682,-9.497055930589427,Control,GSM2114240,0.6336218509109899,0.20977128849725737,GSE80178
33.25238415902891,-8.342631602385259,Control,GSM2114241,0.6336218509109899,0.20977128849725737,GSE80178
38.03523945993877,-8.975545644253444,Control,GSM2114242,0.6336218509109899,0.20977128849725737,GSE80178
