feature,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
anion_gap,0.17959439807702912,1.1967318679226628,0.061417214913839335,0.05921886881514775,0.2999699273389105,1.061007436769546,1.3498182143399406,0.0,2.9241703377298625,0.003453756942239763,8.177617727725714
antibiotic_use,0.3688385828125871,1.44605416683843,0.1635703160721131,0.04824665437141229,0.6894305112537619,1.0494294697705089,1.9925804579206885,0.0,2.254923702965626,0.024138118235385576,5.372542979228417
bun,0.35555429438764635,1.4269713973458937,0.05964448944312338,0.23865324320284506,0.4724553455724476,1.269538239236496,1.6039275587853876,0.0,5.96122622068382,2.5035209208423842e-09,28.573394342535256
creatinine,0.23638342736346935,1.2666598891305016,0.05193487464326798,0.1345929435210616,0.3381739112058771,1.1440709880469944,1.4023843725562515,0.0,4.5515355334377485,5.325580103320921e-06,17.51862988593853
crp,0.37939727021001174,1.461403492509088,0.0519251685669458,0.2776258099276267,0.4811687304923968,1.319992176817921,1.6179642617778616,0.0,7.3066160530777,2.739538994442455e-13,41.73113209450639
fibrinogen,-0.2555857221745813,0.7744627450843096,0.06066346610381648,-0.374483930915428,-0.13668751343373464,0.6876440590776091,0.8722427476914048,0.0,-4.213173736844915,2.518072218788289e-05,15.27732081401943
glucose,0.23764682845049392,1.2682611999472342,0.06308173127804666,0.11400890706308864,0.3612847498378992,1.1207621075384941,1.4351720677140691,0.0,3.7672844995806005,0.0001650328930453108,12.564958779903236
procalcitonin,0.3990859938803343,1.4904617836888867,0.04458177081897608,0.3117073287081224,0.48646465905254616,1.3657549172748633,1.6265556144360396,0.0,8.951775278304213,3.498105192786383e-19,61.31006012914366
wound_culture_positive,0.5037804756827166,1.6549660179917374,0.12968220034258862,0.249608033575335,0.7579529177900981,1.2835222204604388,2.1339034705023616,0.0,3.8847310914825,0.00010244321170878816,13.252887990696005
BBS2,-0.12586790931859826,0.8817313075807852,0.06332147671404713,-0.24997572312602231,-0.0017600955111742034,0.7788196901493706,0.9982414525485525,0.0,-1.9877601700131535,0.0468382207463603,4.416169916863798
CACHD1,-0.1956735198747533,0.8222806491491295,0.059926766821832074,-0.313127824555474,-0.07821921519403259,0.7311564468476018,0.9247616825103994,0.0,-3.2652106938542023,0.001093826803455451,9.836399964792193
DEPTOR,0.2155093997208415,1.2404936431622655,0.06234313870012413,0.09331909318541295,0.33769970625627,1.0978119837070308,1.401719512597934,0.0,3.4568262717323277,0.0005465770958882381,10.837287374025662
NDRG2,-0.2478230138899901,0.7804980683715536,0.06485244586456415,-0.3749314720938694,-0.12071455568611078,0.6873363788999712,0.8862869090483285,0.0,-3.821336428968863,0.00013273043653337218,12.879213145233358
PHYHD1,-0.2571504855744539,0.7732518417619098,0.060860372931323986,-0.37643462460552535,-0.1378663465433825,0.6863039836138476,0.8712151248776772,0.0,-4.225253201531109,2.3867226822349105e-05,15.35460952770998
